"Key","Value"
"Magellan","a planet visited by the Fifth Doctor in the Doctor Who Monthly/The Official Doctor Who Magazine comic strip ""The Moderator"".[227]"
"Magnus or Magnus Epsilon","an Earth colony visited in the unfilmed but novelised script Mission to Magnus. Females dominate the society.[228]"
"Malcassairo","a planet featured in the Tenth Doctor episode ""Utopia"". It is the home of Chantho's people, the Malmooth, in their city (conglomeration). By the end of the universe it is home to a human refugee camp/space program, and the hostile Futurekind with almost a"
"Manussa","the setting of the Fifth Doctor serial Snakedance. The planet's surface is arid and sandy and is dotted by ragged rocks.[231][232]"
"Marinus","the setting of the First Doctor serial The Keys of Marinus. It was home to a human-like race, the disembodied brains of Morpho, and the Voord.[233][234] The Doctor Who Magazine comic strip ""The World Shapers"" suggests that Marinus is in fact Mondas.[235]"
"Marpesia","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Mars","the homeworld of the Ice Warriors and the Flood. The Tenth Doctor postulated that the Ice Warriors froze the Flood into a Glacier on the planet in a bitter war. Sometime in 2058, human explorers from Earth laid the foundations for their Bowie Base 1 colon"
"Mechanus","a jungle-covered world inhabited by the Mechonoids, robots sent to prepare the planet for human colonisation. It is also the home of native fungoid life forms known as Gubbage Cones.[39][242]"
"Melagophon aka. Melogophon","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Melissa Majoria","the homeworld of most of the Earth's bees. It was mentioned in ""The Stolen Earth"".[3]"
"Mesmerus","a planet inhabited by the Hypton race. It is mentioned in The Dalek Pocketbook and Space Travellers Guide.[75]"
"Messaline","a planet visited by the Doctor in ""The Doctor's Daughter"". The planet is in a state of constant war. Before it was terraformed at the end of ""The Doctor's Daughter"", the planet's surface was cold, windy and rocky, and covered in tar pits. According to Mar"
"Metallurgis 5","a planet mentioned in the novel The Resurrection Casket.[245]"
"Meta Sigmafolio (a.k.a. Meta Sigma Polia)","a planet mentioned at the end of the episode ""Last of the Time Lords"". It is said to have a sky that looks like oil on water. It is also said to be the place where you can see a burst of starfire.[84]"
"Meta Vorka 6","a planet mentioned in Part One of The Sarah Jane Adventures story The Last Sontaran where the Vorkasian horde travel in spacecraft about the size of a coffee cup.[246]"
"Metazula Beta","a planet mentioned in The Maltese Penguin as the location where Dogbolter's organisation manufactures plastic chairs.[247]"
"Metebelis Three aka the Blue Planet","where the Third Doctor takes a perfect blue crystal (a Metabelis Sapphire, which contains strange powers) from in The Green Death,[248][249] and where he returns to in the serial Planet of the Spiders.[249][250] It is also mentioned in Carnival of Monster"
"Metralubit","a remote human colony in the Fostrix galaxy in the 58th Segment of Time. The capital city is Metron. An intelligent gestalt of flies named Hive existed here, and could possess and animate dead bodies.[253]"
"Miasimia Goria","a planet ruled by the Rani.[citation needed]"
"Midnight","a leisure planet visited by the Tenth Doctor and Donna in the episode of the same name. It has golden spas, anti-gravity restaurants, sapphire waterfalls, and a landscape of diamonds. The planet's sun emits x-tonic radiation, which vaporises organic matte"
"Minyos","the original homeworld of the Minyans, and Minyos II is where they settle at the end of the serial Underworld.[256]"
"Mira","the planet of the invisible predatory Visians, visited in The Daleks' Master Plan. It is described as 'a strange planet in a strange galaxy.' What we see of the planet is mostly swamp-like.[111][257]"
"Mirabilis Major and Mirabilis Minor","both mentioned in The Ribos Operation.[149]"
"The Mobox homeworld","visited in the Doctor Who Magazine comic strip ""Uroboros"". The Mobox were intelligent, bulky creatures that could breathe fire.[258]"
"Mogar","a planet stripped bare of all its natural resources by humans. In Terror of the Vervoids, the Hyperion III spaceship sets off from Mogar with a cargo of deadly Vervoids created on the planet. Mogar is (or was) the source of many valuable and rare metals, "
"Mondaran","a planet now in ruins by the Cybermen. The Cybermen hold curfews with nightly patrols everyday on the planet making sure no one is on the streets.[citation needed]"
"Mondas","the home planet of the Cybermen, first seen in The Tenth Planet. An exact physical duplicate of the Earth, it drifted away to the 'edge of space' before returning to its destruction.[clarification needed][260] The Fifth Doctor visited it earlier in its hi"
"Morestra","a planet mentioned in Planet of Evil. It is located in the Artoro Galaxy.[262]"
"Morok","the home of the Moroks, the rulers of Xeros in The Space Museum. At one point, Morok was the centre of a large interstellar empire.[208][263]"
"The Museum of the Last Ones","the setting of the Tenth Doctor New Series Adventures novel The Last Dodo. It is an entire planet dedicated to a museum displaying the last of every species from every planet in the universe.[64]"
"Muscolane","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Myarr","a planet first visited in the fifth episode of The Infinite Quest and the prime setting of the sixth and seventh. It is the location of the third data chip that will lead to the Infinite. The planet was claimed by both the Human Empire and the Mantasphid "
"Navaros (or Navarro)","the planet of the Navarinos, tour-loving aliens from the Seventh Doctor serial Delta and the Bannermen.[91]"
"Necros","a frozen planet used as a final resting place for the galaxy's dead. It features in the serial Revelation of the Daleks. It also has dark land masses and is almost constantly bombarded by turbulent weather.[264][265]"
"Nefrin","a planet in a distant galaxy. It is the home of Brimo, an immortal, from the Doctor Who Weekly comic strip ""The Time Witch"".[266]"
"Neogorgon","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"New Alexandria","the planet that hosted the restaurant The Crystal Bucephalus in the novel of the same name. It is heavily implied to be the ruins of Gallifrey.[116]"
"New Earth","a planet in the galaxy M87, first seen in the episode of the same name.[267][268] By all accounts noted through images of New Earth, it looks like the planet exists as an Earth-sized moon of a bigger, pinkish coloured planet existing along with another mo"
"Another planet named New Earth","unrelated to the above, visited in the Doctor Who Weekly comic strip ""The Dogs of Doom"". The inhabitants were being transformed into Wereloks, in a scheme revealed to be masterminded by the Daleks.[269]"
"New Savannah","a planet in the Felinus system, in the Galaxy M57. It was the home planet of the Catkind. On the eve of the year 5 billion, it became part of the New Human Empire. Visited in IDW's Doctor Who comic series.[vague][citation needed]"
"New Venus","a planet mentioned in ""The Long Game"". In the year 200,000, sandstorms on this planet kill 200 sentients in the Archipelago.[87]"
"Nooma","a planet visited in the novel Speed of Flight. For 4000 years, a genetic experiment was conducted on the natives.[270]"
"Oberon","a planet mentioned in Revelation of the Daleks.[265]"
"Oblivion","the homeworld of the Eighth Doctor's companion Destrii. The planet appeared in the Doctor Who Magazine comic strip of the same name.[271]"
"Obsidian","a planet mentioned in the series 8 episode ""Mummy on the Orient Express"". The Twelfth Doctor said that it was a planet of perpetual darkness.[272]"
"Ockora","the homeworld of the Selachians. The native Ockorans were hunted by beings from Kalaya, and surgically altered themselves to become a warrior race known as the Selachians. Ockora was destroyed by a G-bomb in The Final Sanction.[273]"
"The otherwise unnamed Ogron planet","a huge grey ball many light years away from the central spaceways, the homeworld of the Ogrons and is the setting for the last two episodes of Frontier in Space.[119][274] In the Fourth Doctor Virgin Missing Adventures book The Romance of Crime, it is nam"
"Ogros","a planet of Tau Ceti notable for its amino acid swamps. The Ogri originate from Ogros. Mentioned though not seen in The Stones of Blood.[118]"
"Olympus","a planet visited by the Fourth Doctor and K9 in the comic strip ""The Life Bringer"" which is home to an immortal near-human race known as the Olympians.[277]"
"The Ood-Sphere","the homeworld of the Ood in the episode ""Planet of the Ood"" and the two-part story The End of Time. It is a barren, icy planet with vast mountains and caves. A couple of moons and a greyish-pink-coloured ringed planet can be seen in its sky. It lies close"
"Oseidon","the home planet of the Kraals from The Android Invasion.[281][282]"
"Oskerion","[283]Oskerion Varan Tak, eponymous character of the Doctor Who Monthly comic strip ""The Collector"""
"Othrys","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Overod","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Padrivole Regency 9","a planet mentioned in ""Smith and Jones"".[284]"
"Pandatorea","a planet covered by great lakes mentioned in the Sixth Doctor story The Two Doctors.[65]"
"Parakon","and the Parakon Corporation attempted to sell rapine to Earth in The Paradise of Death. This would have left the Earth devastated.[285]"
"Paradost","a planet visited in the Doctor Who Magazine comic strip ""The Glorious Dead"". Paradost was a planetary museum, home to exhibits n a million species.[clarification needed][115]"
"Peladon","the setting of the Third Doctor serials The Curse of Peladon and The Monster of Peladon, as well as the Virgin New Adventure Legacy and the Big Finish audio adventures The Bride of Peladon and The Prisoner of Peladon. It is a planet ruled by a monarch.[28"
"Pen Haxico 2","the planet Max Capricorn, a cyborg, planned to retire to in ""Voyage of the Damned"". He mentioned tropical beaches, and ladies who are ""I hear, very fond of... metal"".[292]"
"Periboea","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Phaester Osiris","the home planet of the Osirans, a powerful race who left their mark on Mars in the Virgin New Adventures novel GodEngine[239] and on Earth in the Fourth Doctor serial Pyramids of Mars.[238]"
"Pheros","a planet visited in the second episode of The Infinite Quest. It is the homeworld of Caw, Baltazar's robotic parrot. The metal birds of Pheros are powered by gold fusion.[21]"
"Phryxus","the home planet of the wolf-like Phryxians, located in NGC4258. The Phryxians appeared in The English Way of Death.[293]"
"Planet 1","the setting of The Doctor Trap. It is a planet filled with molecular machines, enabling anything its ruler desires to be created.[294]"
"Planet 14","a planet that, in The Invasion, the Cybermen were mentioned to have fought the Doctor on.[295]"
"Planet One","the oldest planet in the universe, a lush verdant jungle world of massive trees and gigantic mushrooms. Carved into the universe's oldest cliff face are the words 'HELLO SWEETIE' and a set of temporal co-ordinates written left as a message by River Song, "
"Pluto","the setting of the Fourth Doctor serial The Sun Makers, in which it is endowed with six suns and a breathable atmosphere, owing to the engineering practices of the Usurians.[79][80]"
"Polarfrey","a frozen gas giant found in the Gallifrey System, mentioned in Lungbarrow.[298]"
"Polongus","a planet mentioned in The Sarah Jane Adventures serial The Wedding of Sarah Jane Smith. A species of multi-eyed, slug-like creatures is native to the planet.[301]"
"Poosh","a planet mentioned in ""Midnight"". The Lost Moon of Poosh was the subject of study by student Dee Dee Blasco.[254] In ""The Stolen Earth"", the Lost Moon is revealed to be one of the 27 worlds taken by Davros.[3] It is returned in ""Journey's End"".[4]"
"Ponton","a planet mentioned in The Ribos Operation.[149]"
"Posikar","a planet mentioned in Mindwarp.[193]"
"Proamon","the homeworld of Kane, the icy ruler of Iceworld in the Seventh Doctor story Dragonfire. It was destroyed a thousand years after his exile.[302][303]"
"Pyro Shika","a planet with several moons mentioned in the Sixth Doctor story Terror of the Vervoids.[259]"
"Pyrovilia","the homeworld of the Pyroviles, rock beings featured in ""The Fires of Pompeii"". The planet was ""lost"", prompting the Pyroviles' attempt to colonise the Earth and convert humanity into their own kind using Mount Vesuvius.[304] In ""The Stolen Earth"", it is "
"Qualactin","the only planet, apart from Bandraginus V, on which the mineral Oolion occurs naturally. Mentioned in the Fourth Doctor story The Pirate Planet.[57]"
"Quinnis","a planet in the 'Fourth Universe' visited by the First Doctor and Susan as referenced in the serial The Edge of Destruction.[305]"
"Raaga","the penal planet of the Terileptils, as mentioned in The Visitation. The prisoners work in tinclavic mines.[306] In The Awakening, it is stated that Raagan tinclavic is used by the people of Harkol.[172] The star Rifta (Rifter) is its parent star[citation"
"Rago Rago Five Six Rago","the location of a university that sent scholars to witness Earth's death in the year Five Billion.[citation needed]"
"Ralafea","a planet mentioned in Wooden Heart.[24]"
"Ranx","a planet mentioned in Nightmare of Eden. It has an orange sun and a purple- orange sky. Its native plant life includes a form of large stalked fungus that seems to grow as high as trees.[56]"
"Ravolox","the titular planet of The Mysterious Planet. It is actually Earth, displaced by the Time Lords through time and space and renamed. It features a black light pinnacle of tremendous power.[307]"
"Raxacoricofallapatorius","first mentioned in ""World War Three"",[308] the home planet of the Raxacoricofallapatorians,[191] including the criminal Slitheen,[308] Blathereen and Hostrazeen families.[additional citation needed] The difficulty characters have in pronouncing its name i"
"Raxacoricovarlonpatorius","a planet mentioned in the Sarah Jane Adventures episodes Revenge of the Slitheen and The Gift as being one of four planets in the ""Raxas Alliance"", alongside Raxacoricofallapatorius, Clom and Clix.[309]"
"Reblais Beta","a planet mentioned in the Tenth Doctor New Series Adventures novel The Last Dodo.[64]"
"Red Rocket Rising","a human planet attacked by the Daleks in the audio play Blood of the Daleks.[310] It seems to be in the same planetary system as Telos.[original research?]"
"Red Sky Lost","a planet that was home to a species of felinoid hunters. By the time of Prisoner of the Daleks, only one of the race remained, after the planet was attacked by the Daleks.[42]"
"Refusis II","also called simply Refusis, the destination for the refugees of humanity in The Ark, as they flee the devastation of Earth by the Sun in 10,000,000 AD. It is a verdant world, and its native people have been rendered invisible and bodiless by a solar flare"
"Reja Magnum","a planet mentioned in The Space Pirates.[220]"
"Rex Vox Jax","a planet mentioned in ""The End of the World"". It is the planetary home of the Hop Pyleen brothers, inventors of Hyposlip Travel Systems.[157]"
"Rexel 4","the home planet of the Carrionites, as mentioned in ""The Shakespeare Code"", located in the Rexel Planetary Configuration.[122]"
"Ribos","the setting for the start of the quest for the Key to Time in The Ribos Operation. Ribos is located in the constellation of Skythra. It is also 116 parsecs from the planet Cyrennis Minima and is 3 light centuries away from the Magellanic Clouds. Ribos tak"
"Riftan Five","the home planet of the mercenary Lytton, mentioned in Attack of the Cybermen.[313]"
"Rigel Beta 5","a planet mentioned in Part One of The Sarah Jane Adventures story The Last Sontaran.[246]"
"Rit","a lawless border world mentioned in the book Monsters and Villains in the year five billion.[86]"
"Ruta 3","the home planet of the Rutan Host, described by the Fourth Doctor as icy and inhospitable for humans in the 1977 story Horror of Fang Rock.[314]"
"Ruta Magnum","another planet mentioned in The Space Pirates.[220] The planets Reja Magnum and Ruta 3 may share the same planetary system with this planet.[original research?]"
"Ry'leh","a planet featured in the Doctor Who crossover novel All-Consuming Fire.[315] It is based on H. P. Lovecraft's R'lyeh.[citation needed]"
"S14","an alternative name for Deva Loka.[113][114]"
"Salarius","a planet mentioned in The Resurrection Casket.[245]"
"Salostophus","a planet in the constellation of Andromeda. Sabalom Glitz revealed in The Mysterious Planet that this was his home planet.[307]"
"Salvak","a neighbouring planet to Magnus in Mission to Magnus.[228]"
"San Kaloon (a.k.a. Sanclune)","a planet visited by the Ninth Doctor and Rose. It has a glass pyramid. It was mentioned in ""Boom Town"".[191] It is also mentioned somewhere in the original series, though under a different spelling[citation needed]."
"Santiny","a planet inhabited by a human-like people. It's rich in resources and has huge forests. It was a major setting of Death Comes to Time, and was invaded by the Canisians.[9]"
"Sant's World","a planet mentioned in the book Monsters and Villains in the year five billion.[vague][86]"
"Sarn","the Planet of Fire in the Fifth Doctor serial of the same name. It is a rocky and barren planet with a high amount of volcanic activity.[318][319] The Spanish island of Lanzarote, with its unique volcanic features, was the filming location for Sarn.[citat"
"Saturnyne","the homeworld of the Saturnynians, a race of exo-skeletal fish creatures who thrived in the planet's seas, besieged by cracks in the universe. At first the cracks appeared to pose no real danger and the aliens were able to observe other worlds through the"
"Sava","a planet mentioned in The Ark.[311]"
"Scalpor","a planet mentioned in Vengeance on Varos.[321]"
"Scrantek","the home planet of the horrific Fleshsmiths, in the novel Prime Time. It is located in the Brago Nebula, and plagued by ionising radiation and lightning storms that have detroyed the natives' bodies.[70]"
"Scotia","a planet mentioned in The Resurrection Casket.[245]"
"Segonax","a dusty, arid, desert planet with a blue atmosphere. A large, magenta-pink ringed planet is seen in Segonax's skyline. There is little plant life, animal life and water on the planet, but is not without a stable ecosystem or life, including the native Seg"
"The Sense-Sphere","the home planet of the Sensorites, a telepathic but xenophobic species. It has a high concentration of the valuable element molybdenum. It is located near to the planet Ood-Sphere. It is first seen in The Sensorites.[138][323]"
"Shada","the prison planet of the Time Lords in the serial of the same name.[125]"
"Shadmoch","a planet in the Rexel planetary configuration with a hollow moon.[citation needed]"
"Shallacatop","(a.k.a. Challakatop) One of the 27 planets taken by Davros in ""The Stolen Earth"".[3]"
"Shan Shen","a planet visited in ""Turn Left"". The planet was inhabited by humanoid species with a somewhat Chinese influenced culture (described[by whom?][citation needed] as a 'Chino' planet), a mixture of flags, pagodas and futuristic skyscrapers influenced by ancie"
"Shantella Prime","a planet mentioned in the Tenth Doctor comic strip ""Which Switch?"" in Doctor Who Magazine.[citation needed]"
"Shallanna (a.k.a. Shrillanna)","a planet mentioned in the Eleventh Doctor episode ""The Girl Who Waited"". Amy Pond walks through an Apalapucian garden, the topiary of which is said according to the interface to be perfect replicas of those found on a Shill governor's mansion garden on Sh"
"A shrub planet","an unnamed planet made entirely of shrubs, mentioned in the series 8 episode ""Mummy on the Orient Express"".[272]"
"Sigma","home planet of the Doctor Who Monthly character Doctor Asimoff.[citation needed]"
"Sinda Callesta","a planet mentioned in the Eleventh Doctor episode ""The Lodger"". The Doctor was planning on taking Amy to its fifth moon, but ended up landing on Earth.[326]"
"Siralos","one of the 700 Wonders of the Universe, and it is the planet made of pure psychic energy that the Master takes over in the computer game Doctor Who: Destiny of the Doctors.[327]"
"Sireen","the home planet of one the prisoners in Destiny of the Daleks.[8]"
"Sirius IV","an Earth colony planet referenced in Frontier in Space.[119] This planet, as well as Sirius V, Androzani Major, Androzani Minor and Alpha Canis One make up the system of 5 planets known as the Sirius System, which orbits around the star Sirius, which is i"
"Sirius V","a planet mentioned in City of Death.[328] It is one of the planets in the Sirius System.[additional citation needed]"
"Skaar","where the Graff Vynda-K's men fought in the Alliance Wars mentioned in The Ribos Operation.[149]"
"Skonnos","the setting for much of The Horns of Nimon.[20][334]"
"Skythros","mentioned in The Ribos Operation.[149]"
"The Slough of The Disunited Planets","the setting of the Doctor Who Magazine comic strip story The Warkeeper's Crown. The Disunited Planets form a galaxy where the inhabitants have waged war since the near the beginning of time and is a place where space travellers avoid at all costs.[335]"
"Sol 3","another name for Earth.[citation needed]"
"Solos","the setting of the Third Doctor serial The Mutants. During the day, the ultraviolet rays from its sun makes its atmosphere poisonous to humans. It has four seasons, each lasting five hundred years.[336][337]"
"Sontar (or Sontara)","the homeworld of the Sontarans. The Virgin Missing Adventures novel The Crystal Bucephalus by Craig Hinton names the planet as ""Sontara"".[116] Yet in ""The Sontaran Stratagem"" and ""The Poison Sky"", the Sontarans referred to their home planet as Sontar.[81]"
"Spiridon","an inhospitable[to whom?] planet, home to the Spiridons, a race of beings with the natural ability to become invisible. The Daleks kept a secret army there in Planet of the Daleks. In this story, Spiridon is discovered to be a lush, green jungle planet wh"
"Splendurosa","home to a floating coral city, visited in the short story ""Grand Theft Planet"".[342]"
"Starfall","the setting of the Tenth Doctor New Series Adventures novel The Resurrection Casket, a planet where no technology works except steam power due to the EMP which covers the entire world of Starfall except for the outskirts.[245]"
"Stella Stora","a planet mentioned in Terror of the Vervoids.[259]"
"Sto","a planet located in the Cassavalian Belt. It is the home planet of those, including Astrid Peth and Max Capricorn, aboard the Titanic in ""Voyage of the Damned"". Although the dominant species is humanlike, Sto is also home to the red, spiny-skinned Zocci,["
"Stormcage","a prison planet for the worst criminals in the galaxies.[additional citation needed] Dr River Song, or Melody Pond, is put in there for murdering ""A good, good man."" She continually breaks out throughout the series.[citation needed]"
"Strepto","the home planet of the water hags featured in the Torchwood novel, Something in the Water.[344] The Time Traveller's Almanac confirms that it was one of the 27 planets stolen by the Daleks in ""The Stolen Earth"".[3][345]"
"Stricium","a planet mentioned in City of Death as the location of the Solarium Panatica gallery.[328]"
"Sunday","the setting of the Tenth Doctor New Series Adventures novel Wetworld. It is inhabited by intelligent creatures resembling terrestrial otters.[346]"
"Svartos","the location of Iceworld in the serial Dragonfire. The planet is locked in its orbit, causing one side of the planet to be in permanent sunshine, while the other side is permanently cold and icy.[302][303]"
"Sycorax","the homeworld of the Sycorax race. Located in the JX82 system, is was broken up into asteroid-starships, including the flagship Fire Trap.[citation needed] It should not be confused with Uranus's moon of the same name."
"Sylvaniar","a planet visited by the Sixth Doctor in the Doctor Who Magazine comic strip ""Revelation!"" It had been infiltrated by Cybermen.[347]"
"Szabo","a planet mentioned in The Creature from the Pit.[92]"
"Ta","the headquarters of the Issigri Mining Corporation and features in the Second Doctor serial The Space Pirates. Its parent star is called Pliny.[220][221]"
"Tara","the setting of the Fourth Doctor serial The Androids of Tara.[348][349] It is a planet resembling 19th century Earth,[where?][clarification needed] with lush green fields, attractive landscapes and medieval type forests.[clarification needed]"
"Tarsius","a planet Captain Jack Harkness recalls encountering a 'proto-humanoid Gloobi hybrid' in the 39th century wastes of in the novel Only Human.[62]"
"Telos","a colony world of the Cybermen, first seen in The Tomb of the Cybermen.[350][351] It is an arid, mountainous planet that was once an ice planet until the temperatures on the planet rose.[citation needed] The native inhabitants were the Cryons.[313][352]"
"Tenten 10","also known as the Decimal Planet, mentioned in passing in the novel Prisoner of the Daleks.[42]"
"Terileptus","the homeworld of the Terileptils, a race seen in the episode The Visitation.[306] The name of their home planet is mentioned in the Virgin Missing Adventures novel The Dark Path.[107]"
"Terra Alpha","the location of Helen A's misery-free colony (or so some[who?] believe) in The Happiness Patrol. It is a gloomy planet with a yellow-purplish atmosphere. The conditions[vague][clarification needed] on the planet are terrible and demonstrations are frequen"
"Terra Beta and Terra Omega","both mentioned in The Happiness Patrol.[353]"
"Terradon","the origin of the starliner on Alzarius in the Fourth Doctor serial Full Circle.[13][14]"
"Tersurus","the planet on which Chancellor Goth met the dying Master prior to The Deadly Assassin.[355] It was also the setting of the Comic Relief spoof episode The Curse of Fatal Death. The spoof described the Tersurons as the most gentle, yet most shunned race in "
"Tetrapyriarbus","the home planet of the Tetraps.[citation needed]"
"Thegeros","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Therka","a planet mentioned in the original series.[vague][citation needed]"
"Therra","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Thordon","a planet mentioned in Mindwarp.[193]"
"Thrace","a planet mentioned in ""New Earth"".[267][357]"
"Thuron","the home planet of the cyclopean Castelathurons, in the short story ""Island of the Sirens"".[342]"
"Thideon 4","another planet mentioned in the Doctor Who series 8 episode ""Mummy on the Orient Express"". The Twelfth Doctor mentioned how it rains acid rain there and that he had once had a picnic there while wearing a gas mask. There is also a passing reference mentio"
"Tiermann's World","the setting of the Tenth Doctor New Series Adventures novel Sick Building. A planet named after the professor that lives there, it is covered by wintry woods.[358]"
"Tigella","a tropical planet that is the neighbouring planet to Zolfa Thura in Meglos.[359][360]"
"Tigus","a planet visited in The Daleks' Master Plan. It is a young planet and still highly volcanic.[111][361]"
"Tisar","a planet mentioned in The Daleks' Master Plan.[111]"
"Titan III","a desolate planetoid with a hostile climate on which the Sixth Doctor planned to become a hermit in The Twin Dilemma.[186][362]"
"Titania","a hot gaseous planet, in a system between the secondary and tertiary arms of the Galaxy. Its moon, Dramos, is visited in the novel Burning Heart.[363]"
"Tivoli","mentioned in ""The God Complex"" as the most invaded planet in the galaxy. The anthem of Tivoli is ""Glory To Insert Name Here"" and the town planning committee is planning to plant trees along all highways so that invading forces can march in the shade.[364]"
"Tokl","a planet mentioned in Mindwarp.[193]"
"Toop","the home planet of the Quevvils and Mantodeans in the New Series Adventures novel Winner Takes All.[365]"
"Torajii Alpha","a planet mentioned in the Tenth Doctor short story ""42: Prologue"". The sun of this planet is actually a living organism. In the episode ""42"", it is said to be located in the Torajii System.[205]"
"Traken in the Metulla Orionsis system","the densely forested homeworld to a race of pacifists and the centre of the Traken Union. It was first seen in The Keeper of Traken[366][367] and destroyed by a wave of entropy in the following story Logopolis.[222][367] The Doctor's companion, Nyssa, was"
"Trieste","another planet from The Creature from the Pit.[92] It is also mentioned in novel.[clarification needed][vague][citation needed]"
"Trenzalore","a planet mentioned in the episode ""The Wedding of River Song""[369] and seen in ""The Name of the Doctor"".[370] Dorium Maldovar said in ""The Wedding of River Song"" that on its war-torn fields silence will fall when the oldest question in the universe, ""Doct"
"Trion","the home planet of the Doctor's companion Turlough, featured in Planet of Fire.[318]"
"Triton","the homeworld of Balthazar, who was the planet's corsair king.[citation needed] Also the homeworld of the alien Waro in The Devil Goblins from Neptune.[375]"
"Tythonus (a.k.a. Tithonus)","the home planet of Erato, the globulous green entity in the Fourth Doctor serial The Creature from the Pit.[92]"
"Umbeka","a planet mentioned in the Tenth Doctor novel The Resurrection Casket. It is the planet from which ever-lasting matches originate. Its winters last for centuries, while its summers only last a few weeks.[245]"
"Unicepter","IV Planet where the natives developed telepathic dreaming technology, visited in the Doctor Who Monthly comic strip ""Dreamers of Death"".[376]"
"Uranus","the seventh planet in the solar system. It is mentioned in The Daleks' Master Plan as the Galaxy's only source of the element taranium.[111]"
"Urbanka in the Inokshi System, in the Galaxy 1489","the planet of the frog-like Urbankans, the technologically gifted aliens in the Fifth Doctor serial Four to Doomsday. Once a lush, tropical planet, its habitat was destroyed by radiation.[377]"
"Usurius","the planet of the Usurians, coincidentally a race of usurers who feature in the Fourth Doctor serial The Sun Makers.[79]"
"Utopia","the fictional place the last humans are attempting to reach in the Tenth Doctor episode ""Utopia"".[229][230] At its co-ordinates, the last humans found darkness, and eventually cannibalised themselves into the 'Toclafane'. The Master unleashes them on pres"
"UX-4732","a planet with a unique insectoid ecosystem, visited by the fourth Doctor in the Doctor Who Monthly comic strip ""Spider-God"".[378]"
"Uxarieus","the location of the Doomsday Weapon in the Third Doctor serial Colony in Space.[139][141] In the novelisation, Doctor Who and the Doomsday Weapon, it was spelt Exarius.[140]"
"Vampire Planet","the unnamed world visited by the Fourth Doctor in the serial State of Decay and subsequently revisited in the Virgin New Adventures story Blood Harvest. It is so-named due to the presence of the Great Vampire, a great enemy of the Time Lords who escaped n"
"Vandos","the home planet of the Vandosians, a race featured in the comic strip Mr Nobody.[381]"
"Varos","the setting of the Sixth Doctor serial Vengeance on Varos and the source of the rare ore zeiton-7. It is a violent and barbaric world with a red sun and a magenta-red atmosphere. It is barren and rocky with little or no vegetation.[321][382]"
"Vardon","a planet mentioned in Time-Flight.[206]"
"Varnicon","a planet inhabited by the eight-armed race called the Octovarns. It was mentioned in The Dalek Pocketbook and Space Travellers Guide.[75]"
"Vasilip","another planet from The Happiness Patrol.[353]"
"Vel Consadine","a planet mentioned in ""The Satan Pit"" as a planet which has a representation of the horned beast.[104]"
"Venessia","another planet from The Ark.[311]"
"Venus","often mentioned during the Third Doctor's era[vague] as the origin of Venusian aikido,[citation needed] Venusian karate,[citation needed] Venusian spearmint[citation needed] and a Venusian lullaby.[citation needed] The planet itself features in the Virgin"
"Verd","a wooded moon of the planet Galxis Bright, visited in the novella Nightdreamers.[152]"
"Verticulus","a planet mentioned in The Space Museum.[208]"
"Vertigan Majoris","a planet mentioned in the First Doctor novel Ten Little Aliens.[384]"
"Veturia","another planet from The Greatest Show in the Galaxy.[15]"
"Vij","another planet from Nightmare of Eden.[56]"
"Viperon","the home planet of the Viperox from the animated serial Dreamland.[385]"
"Vita 15","in the future, the homeworld to a race of warriors which Lytton belongs to.[citation needed]"
"Volag-Noc","an icy prison planet where Baltazar is imprisoned for a time in The Infinite Quest. It is the coldest planet in the galaxy.[21]"
"Vollotha","a planet mentioned in The Two Doctors.[65]"
"Voracia","the home planet of the reptilian Vorellans and their cyber-augmented cousins the Voracians. It is located in the constellation of Skythos.[386]"
"Vortis","the setting of the First Doctor serial The Web Planet; the Menoptera and Zarbi were indigenous species. It is located in the Isop Galaxy. It is characterised by insectoid life forms, acid pools, a Crater of Needles and a Temple of Light. It originally had"
"Vulcan","home to a human colony in the Second Doctor serial The Power of the Daleks. It has an earthlike atmosphere, but also has mercury swamps.[389][390] It MAY [according to whom?][original research?] be within Earth's solar system (see Vulcan (hypothetical pla"
"Vulpana","another planet mentioned in The Greatest Show in the Galaxy.[15]"
"Wilson 1","a planet mentioned in Mindwarp.[193]"
"Woldyhool","a planet visited by the Doctor and Rose in the Doctor Who Adventures.[vague][citation needed] It is a planet dedicated to hyperfilm production, and is used by the great director Zemm Foolini in the year five billion."
"Woman Wept","a planet visited by Rose Tyler and the Ninth Doctor where the continental land mass is shaped like a lamenting woman; and the entire ocean, including waves hundreds of feet high, froze in an instant by means of some undisclosed natural disaster. Rose ment"
"Xenon","the home planet of the shapeshifting Whifferdills, of whom Frobisher, the Sixth Doctor's comic strip companion, is an example.[citation needed]"
